"","subnum","offered_points","offered_difficulty","nswitch","accuracy","response","MentalDemand","PhysicalDemand","TemporalDemand","Performance","Effort","Frustration"
"44",1744558,"9","0.6",6,1,1,11,1,11,14,13,12
"45",1744558,"6","0.2",1,0.777777777777778,0,3,1,2,17,6,2
"46",1744558,"9","0.8",8,1,1,15,1,17,10,16,13
"47",1744558,"12","0.8",7,1,1,15,1,17,10,16,13
"48",1744558,"9","0.4",4,0.888888888888889,1,1,1,4,18,8,5
"49",1744558,"3","0.8",8,1,1,15,1,17,10,16,13
"50",1744558,"6","0.6",5,0.888888888888889,1,11,1,11,14,13,12
"51",1744558,"6","0.2",2,1,1,3,1,2,17,6,2
"52",1744558,"9","0.6",6,1,1,11,1,11,14,13,12
"53",1744558,"6","0.4",3,1,1,1,1,4,18,8,5
"54",1744558,"9","0.2",1,1,1,3,1,2,17,6,2
"55",1744558,"6","0.4",3,1,1,1,1,4,18,8,5
"56",1744558,"9","0.2",1,1,1,3,1,2,17,6,2
"57",1744558,"12","0.2",1,1,1,3,1,2,17,6,2
"58",1744558,"9","0.4",3,0.777777777777778,0,1,1,4,18,8,5
"59",1744558,"3","0.6",6,0.666666666666666,0,11,1,11,14,13,12
"60",1744558,"6","0.6",5,1,1,11,1,11,14,13,12
"61",1744558,"9","0.4",3,1,1,1,1,4,18,8,5
"62",1744558,"9","0.8",7,1,1,15,1,17,10,16,13
"63",1744558,"12","0.2",1,1,1,3,1,2,17,6,2
"64",1744558,"6","0.4",3,1,1,1,1,4,18,8,5
"65",1744558,"12","0.4",4,1,1,1,1,4,18,8,5
"66",1744558,"3","0.2",1,1,1,3,1,2,17,6,2
"67",1744558,"9","0.2",1,1,1,3,1,2,17,6,2
"68",1744558,"9","0.8",7,1,1,15,1,17,10,16,13
"69",1744558,"3","0.4",3,1,1,1,1,4,18,8,5
"70",1744558,"6","0.2",1,1,1,3,1,2,17,6,2
"71",1744558,"12","0.8",7,1,1,15,1,17,10,16,13
"72",1744558,"12","0.6",5,0.777777777777778,0,11,1,11,14,13,12
"73",1744558,"6","0.6",6,1,1,11,1,11,14,13,12
"74",1744558,"6","0.2",1,1,1,3,1,2,17,6,2
"75",1744558,"6","0.6",6,0.888888888888889,1,11,1,11,14,13,12
"76",1744558,"9","0.4",3,1,1,1,1,4,18,8,5
"77",1744551,"12","0.6",6,1,1,8,7,11,15,14,13
"78",1744551,"12","0.4",4,0.888888888888889,1,8,8,13,12,12,13
"79",1744551,"3","0.6",5,1,1,8,7,11,15,14,13
"80",1744551,"12","0.2",1,0.888888888888889,1,4,9,13,12,13,10
"81",1744551,"9","0.2",2,1,1,4,9,13,12,13,10
"82",1744551,"9","0.2",2,1,1,4,9,13,12,13,10
"83",1744551,"3","0.6",6,1,1,8,7,11,15,14,13
"84",1744551,"6","0.6",5,1,1,8,7,11,15,14,13
"85",1744551,"9","0.6",6,1,1,8,7,11,15,14,13
"86",1744551,"3","0.8",7,0.888888888888889,1,9,10,14,13,13,12
"87",1744551,"9","0.4",4,1,1,8,8,13,12,12,13
"88",1744551,"9","0.6",6,0.888888888888889,1,8,7,11,15,14,13
"89",1744551,"3","0.4",3,1,1,8,8,13,12,12,13
"90",1744551,"6","0.4",3,1,1,8,8,13,12,12,13
"91",1744551,"12","0.6",6,1,1,8,7,11,15,14,13
"92",1744551,"9","0.4",3,1,1,8,8,13,12,12,13
"93",1744551,"12","0.6",6,1,1,8,7,11,15,14,13
"94",1744551,"9","0.4",4,1,1,8,8,13,12,12,13
"95",1744551,"6","0.6",6,0,0,8,7,11,15,14,13
"96",1744551,"3","0.2",1,1,1,4,9,13,12,13,10
"97",1744551,"9","0.4",3,1,1,8,8,13,12,12,13
"98",1744551,"12","0.4",3,0.888888888888889,1,8,8,13,12,12,13
"99",1744551,"12","0.6",6,1,1,8,7,11,15,14,13
"100",1744551,"6","0.4",3,1,1,8,8,13,12,12,13
"101",1744551,"9","0.6",5,1,1,8,7,11,15,14,13
"102",1744551,"9","0.6",6,1,1,8,7,11,15,14,13
"103",1744551,"6","0.2",2,0,0,4,9,13,12,13,10
"104",1744551,"9","0.8",8,0,0,9,10,14,13,13,12
"105",1744551,"12","0.2",1,0.888888888888889,1,4,9,13,12,13,10
"106",1744551,"9","0.2",1,0.888888888888889,1,4,9,13,12,13,10
"107",1744551,"6","0.2",1,0.777777777777778,0,4,9,13,12,13,10
"108",1744551,"12","0.8",8,0.888888888888889,1,9,10,14,13,13,12
"109",1744551,"12","0.8",7,1,1,9,10,14,13,13,12
"110",1744551,"6","0.4",4,0.888888888888889,1,8,8,13,12,12,13
"111",1744551,"6","0.8",8,1,1,9,10,14,13,13,12
"112",1744551,"9","0.4",3,1,1,8,8,13,12,12,13
"113",1744551,"12","0.8",7,0.888888888888889,1,9,10,14,13,13,12
"114",1744551,"9","0.6",6,1,1,8,7,11,15,14,13
"115",1744551,"12","0.4",4,1,1,8,8,13,12,12,13
"116",1744551,"3","0.8",7,0.888888888888889,1,9,10,14,13,13,12
"117",1744551,"6","0.2",1,1,1,4,9,13,12,13,10
"118",1744551,"9","0.8",7,1,1,9,10,14,13,13,12
"119",1744551,"9","0.8",8,0.888888888888889,1,9,10,14,13,13,12
"120",1744551,"3","0.2",1,1,1,4,9,13,12,13,10
"121",1744551,"6","0.6",5,1,1,8,7,11,15,14,13
"122",1744551,"12","0.6",5,1,1,8,7,11,15,14,13
"123",1744551,"3","0.6",6,1,1,8,7,11,15,14,13
"124",1744551,"3","0.4",3,0.888888888888889,1,8,8,13,12,12,13
"125",1744551,"6","0.4",4,1,1,8,8,13,12,12,13
"126",1744551,"6","0.8",8,1,1,9,10,14,13,13,12
"127",1744551,"6","0.8",8,1,1,9,10,14,13,13,12
"128",1744551,"12","0.8",7,0.888888888888889,1,9,10,14,13,13,12
"129",1744551,"9","0.8",8,1,1,9,10,14,13,13,12
"130",1744551,"6","0.2",1,0.666666666666666,0,4,9,13,12,13,10
"131",1744551,"3","0.8",8,1,1,9,10,14,13,13,12
"132",1744551,"3","0.2",1,1,1,4,9,13,12,13,10
"133",1744551,"6","0.4",3,1,1,8,8,13,12,12,13
"134",1744551,"9","0.2",1,1,1,4,9,13,12,13,10
"135",1744551,"12","0.2",2,0.888888888888889,1,4,9,13,12,13,10
"136",1744551,"3","0.2",1,1,1,4,9,13,12,13,10
"137",1744551,"3","0.4",3,0.777777777777778,0,8,8,13,12,12,13
"138",1744551,"12","0.2",1,1,1,4,9,13,12,13,10
"139",1744551,"3","0.4",3,0.888888888888889,1,8,8,13,12,12,13
"140",1744551,"3","0.6",5,1,1,8,7,11,15,14,13
"141",1744551,"3","0.6",6,1,1,8,7,11,15,14,13
"142",1744551,"6","0.6",5,1,1,8,7,11,15,14,13
"143",1744551,"12","0.2",2,1,1,4,9,13,12,13,10
"144",1744551,"6","0.6",5,0.777777777777778,0,8,7,11,15,14,13
"145",1744551,"3","0.2",2,0.777777777777778,0,4,9,13,12,13,10
"146",1744551,"12","0.4",4,1,1,8,8,13,12,12,13
"147",1744551,"3","0.8",7,0,0,9,10,14,13,13,12
"148",1744551,"6","0.8",7,0.888888888888889,1,9,10,14,13,13,12
"149",1744551,"3","0.8",7,1,1,9,10,14,13,13,12
"150",1744551,"6","0.2",1,1,1,4,9,13,12,13,10
"151",1744551,"9","0.8",8,1,1,9,10,14,13,13,12
"152",1744551,"6","0.8",7,1,1,9,10,14,13,13,12
"153",1744551,"3","0.4",4,0.888888888888889,1,8,8,13,12,12,13
"154",1744551,"12","0.4",4,0.888888888888889,1,8,8,13,12,12,13
"155",1744551,"12","0.8",8,1,1,9,10,14,13,13,12
"156",1744551,"9","0.2",2,0.888888888888889,1,4,9,13,12,13,10
"157",1744557,"9","0.8",8,0.777777777777778,0,5,1,1,18,5,6
"158",1744557,"3","0.4",3,1,1,2,2,1,20,2,4
"159",1744557,"6","0.6",5,1,1,1,1,4,19,4,3
"160",1744557,"12","0.2",1,1,1,1,1,1,21,1,1
"161",1744557,"3","0.2",2,1,1,1,1,1,21,1,1
"162",1744557,"3","0.6",5,1,1,1,1,4,19,4,3
"163",1744557,"12","0.6",6,1,1,1,1,4,19,4,3
"164",1744557,"12","0.8",7,1,1,5,1,1,18,5,6
"165",1744557,"9","0.4",4,1,1,2,2,1,20,2,4
"166",1744557,"9","0.2",1,1,1,1,1,1,21,1,1
"167",1744557,"12","0.2",2,1,1,1,1,1,21,1,1
"168",1744557,"9","0.2",1,1,1,1,1,1,21,1,1
"169",1744557,"12","0.4",4,1,1,2,2,1,20,2,4
"170",1744557,"12","0.4",3,1,1,2,2,1,20,2,4
"171",1744557,"6","0.2",1,1,1,1,1,1,21,1,1
"172",1744557,"9","0.2",2,0.888888888888889,1,1,1,1,21,1,1
"173",1744557,"12","0.8",7,0.888888888888889,1,5,1,1,18,5,6
"174",1744557,"12","0.2",2,1,1,1,1,1,21,1,1
"175",1744557,"12","0.8",7,1,1,5,1,1,18,5,6
"176",1744557,"9","0.8",8,0.888888888888889,1,5,1,1,18,5,6
"177",1744557,"12","0.6",5,1,1,1,1,4,19,4,3
"178",1744557,"9","0.6",6,0.888888888888889,1,1,1,4,19,4,3
"179",1744557,"9","0.6",5,0,0,1,1,4,19,4,3
"180",1744557,"12","0.8",8,1,1,5,1,1,18,5,6
"181",1744557,"12","0.6",5,0.888888888888889,1,1,1,4,19,4,3
"182",1744557,"12","0.4",3,0.888888888888889,1,2,2,1,20,2,4
"183",1744557,"12","0.2",2,0.888888888888889,1,1,1,1,21,1,1
"184",1744557,"9","0.2",1,0.888888888888889,1,1,1,1,21,1,1
"185",1744557,"12","0.6",6,1,1,1,1,4,19,4,3
"186",1744557,"12","0.8",7,1,1,5,1,1,18,5,6
"187",1744557,"6","0.2",1,1,1,1,1,1,21,1,1
"188",1744557,"6","0.4",4,1,1,2,2,1,20,2,4
"189",1744557,"9","0.4",4,0.888888888888889,1,2,2,1,20,2,4
"190",1744557,"12","0.4",4,0.888888888888889,1,2,2,1,20,2,4
"191",1744557,"6","0.6",6,1,1,1,1,4,19,4,3
"192",1744557,"9","0.2",1,1,1,1,1,1,21,1,1
"193",1744557,"9","0.4",4,0.888888888888889,1,2,2,1,20,2,4
"194",1744557,"6","0.8",8,0.888888888888889,1,5,1,1,18,5,6
"195",1744557,"6","0.6",6,0.888888888888889,1,1,1,4,19,4,3
"196",1744557,"9","0.6",5,1,1,1,1,4,19,4,3
"197",1744557,"9","0.6",5,0.888888888888889,1,1,1,4,19,4,3
"198",1744557,"6","0.8",7,1,1,5,1,1,18,5,6
"199",1744557,"6","0.8",8,0.888888888888889,1,5,1,1,18,5,6
"200",1744557,"9","0.8",8,0.888888888888889,1,5,1,1,18,5,6
"201",1744557,"9","0.6",5,1,1,1,1,4,19,4,3
"202",1744557,"6","0.6",5,1,1,1,1,4,19,4,3
"203",1744557,"6","0.4",3,1,1,2,2,1,20,2,4
"204",1744557,"9","0.4",4,0.888888888888889,1,2,2,1,20,2,4
"205",1744557,"6","0.2",1,0.888888888888889,1,1,1,1,21,1,1
"206",1744557,"9","0.8",8,1,1,5,1,1,18,5,6
"207",1744557,"12","0.2",1,0.888888888888889,1,1,1,1,21,1,1
"208",1744557,"6","0.8",8,1,1,5,1,1,18,5,6
"209",1744557,"6","0.4",3,0.888888888888889,1,2,2,1,20,2,4
"210",1744557,"12","0.6",6,0.888888888888889,1,1,1,4,19,4,3
"211",1744557,"6","0.2",2,1,1,1,1,1,21,1,1
"212",1744557,"12","0.4",3,0.888888888888889,1,2,2,1,20,2,4
"213",1744557,"9","0.8",7,0.777777777777778,0,5,1,1,18,5,6
"214",1744549,"6","0.6",6,1,1,13,14,16,19,15,21
"215",1744549,"6","0.2",1,1,1,9,7,6,9,15,21
"216",1744549,"3","0.4",3,1,1,18,14,16,18,15,21
"217",1744549,"3","0.4",3,1,1,18,14,16,18,15,21
"218",1744549,"6","0.2",1,1,1,9,7,6,9,15,21
"219",1744549,"9","0.4",3,1,1,18,14,16,18,15,21
"220",1744549,"9","0.4",4,1,1,18,14,16,18,15,21
"221",1744549,"3","0.6",6,0.777777777777778,0,13,14,16,19,15,21
"222",1744549,"6","0.6",6,0.888888888888889,1,13,14,16,19,15,21
"223",1744549,"12","0.2",1,1,1,9,7,6,9,15,21
"224",1744549,"9","0.4",4,1,1,18,14,16,18,15,21
"225",1744549,"3","0.8",8,1,1,17,16,19,9,16,21
"226",1744549,"6","0.8",7,0.888888888888889,1,17,16,19,9,16,21
"227",1744549,"3","0.6",6,1,1,13,14,16,19,15,21
"228",1744549,"3","0.2",2,1,1,9,7,6,9,15,21
"229",1744549,"9","0.8",7,0.888888888888889,1,17,16,19,9,16,21
"230",1744549,"12","0.4",3,0.888888888888889,1,18,14,16,18,15,21
"231",1744549,"6","0.4",3,0.888888888888889,1,18,14,16,18,15,21
"232",1744549,"6","0.8",7,1,1,17,16,19,9,16,21
"233",1744549,"12","0.2",1,1,1,9,7,6,9,15,21
"234",1744549,"3","0.4",4,1,1,18,14,16,18,15,21
"235",1744549,"12","0.4",4,0.888888888888889,1,18,14,16,18,15,21
"236",1744549,"6","0.6",6,1,1,13,14,16,19,15,21
"237",1744549,"12","0.8",7,0.888888888888889,1,17,16,19,9,16,21
"238",1744549,"12","0.4",3,1,1,18,14,16,18,15,21
"239",1744549,"6","0.4",4,0.888888888888889,1,18,14,16,18,15,21
"240",1744549,"12","0.4",4,1,1,18,14,16,18,15,21
"241",1744549,"3","0.8",8,0.888888888888889,1,17,16,19,9,16,21
"242",1744549,"6","0.8",8,1,1,17,16,19,9,16,21
"243",1744549,"9","0.8",8,1,1,17,16,19,9,16,21
"244",1744549,"9","0.2",1,1,1,9,7,6,9,15,21
"245",1744549,"6","0.8",7,0.888888888888889,1,17,16,19,9,16,21
"246",1744549,"3","0.8",7,1,1,17,16,19,9,16,21
"247",1744549,"9","0.2",2,1,1,9,7,6,9,15,21
"248",1744549,"9","0.2",2,0.888888888888889,1,9,7,6,9,15,21
"249",1744549,"12","0.6",6,0.888888888888889,1,13,14,16,19,15,21
"250",1744549,"9","0.6",5,0,0,13,14,16,19,15,21
"251",1744549,"6","0.4",3,1,1,18,14,16,18,15,21
"252",1744549,"3","0.6",5,1,1,13,14,16,19,15,21
"253",1744549,"9","0.2",2,1,1,9,7,6,9,15,21
"254",1744549,"12","0.8",7,0.888888888888889,1,17,16,19,9,16,21
"255",1744549,"3","0.2",2,1,1,9,7,6,9,15,21
"256",1744549,"3","0.6",6,1,1,13,14,16,19,15,21
"257",1744549,"12","0.2",2,0.888888888888889,1,9,7,6,9,15,21
"258",1744549,"6","0.4",4,0.777777777777778,0,18,14,16,18,15,21
"259",1744549,"6","0.6",5,0.888888888888889,1,13,14,16,19,15,21
"260",1744549,"12","0.6",6,0.888888888888889,1,13,14,16,19,15,21
"261",1744549,"9","0.4",4,0.888888888888889,1,18,14,16,18,15,21
"262",1744549,"9","0.8",8,0,0,17,16,19,9,16,21
"263",1744549,"12","0.4",3,0,0,18,14,16,18,15,21
"264",1744550,"12","0.8",7,0.777777777777778,0,14,6,18,14,15,1
"265",1744550,"9","0.8",7,0.888888888888889,1,14,6,18,14,15,1
"266",1744550,"6","0.8",7,1,1,14,6,18,14,15,1
"267",1744550,"3","0.2",2,1,1,3,3,3,19,2,1
"268",1744550,"6","0.4",3,0.777777777777778,0,12,5,8,16,6,1
"269",1744550,"6","0.2",2,0.888888888888889,1,3,3,3,19,2,1
"270",1744550,"6","0.6",5,1,1,11,10,9,16,8,1
"271",1744550,"12","0.6",5,1,1,11,10,9,16,8,1
"272",1744550,"6","0.4",4,1,1,12,5,8,16,6,1
"273",1744550,"3","0.4",4,0.777777777777778,0,12,5,8,16,6,1
"274",1744550,"12","0.6",6,1,1,11,10,9,16,8,1
"275",1744550,"9","0.4",3,1,1,12,5,8,16,6,1
"276",1744550,"12","0.8",7,0.888888888888889,1,14,6,18,14,15,1
"277",1744550,"12","0.4",3,1,1,12,5,8,16,6,1
"278",1744550,"6","0.4",4,1,1,12,5,8,16,6,1
"279",1744550,"9","0.2",1,0.888888888888889,1,3,3,3,19,2,1
"280",1744550,"12","0.8",8,1,1,14,6,18,14,15,1
"281",1744550,"9","0.6",6,1,1,11,10,9,16,8,1
"282",1744550,"3","0.2",1,1,1,3,3,3,19,2,1
"283",1744550,"9","0.8",7,1,1,14,6,18,14,15,1
"284",1744550,"6","0.6",5,0.888888888888889,1,11,10,9,16,8,1
"285",1744550,"9","0.8",8,0.888888888888889,1,14,6,18,14,15,1
"286",1744550,"9","0.6",5,0.888888888888889,1,11,10,9,16,8,1
"287",1744550,"6","0.2",2,1,1,3,3,3,19,2,1
"288",1744550,"9","0.2",2,1,1,3,3,3,19,2,1
"289",1744550,"9","0.8",8,0.888888888888889,1,14,6,18,14,15,1
"290",1744550,"9","0.6",5,0.888888888888889,1,11,10,9,16,8,1
"291",1744550,"12","0.2",2,0.888888888888889,1,3,3,3,19,2,1
"292",1744550,"9","0.2",1,1,1,3,3,3,19,2,1
"293",1744550,"3","0.4",3,1,1,12,5,8,16,6,1
"294",1744550,"6","0.4",4,1,1,12,5,8,16,6,1
"295",1744550,"6","0.6",6,1,1,11,10,9,16,8,1
"296",1744550,"12","0.6",6,0.888888888888889,1,11,10,9,16,8,1
"297",1744550,"9","0.4",3,1,1,12,5,8,16,6,1
"298",1744550,"6","0.2",2,0.888888888888889,1,3,3,3,19,2,1
"299",1744550,"12","0.6",6,0.888888888888889,1,11,10,9,16,8,1
"300",1744550,"6","0.4",4,1,1,12,5,8,16,6,1
"301",1744550,"9","0.2",2,1,1,3,3,3,19,2,1
"302",1744550,"6","0.6",5,1,1,11,10,9,16,8,1
"303",1744550,"12","0.2",2,1,1,3,3,3,19,2,1
"304",1744550,"3","0.2",1,1,1,3,3,3,19,2,1
"305",1744550,"9","0.4",3,0.888888888888889,1,12,5,8,16,6,1
"306",1744550,"6","0.2",2,0.777777777777778,0,3,3,3,19,2,1
"307",1744550,"9","0.6",5,0.888888888888889,1,11,10,9,16,8,1
"308",1744550,"12","0.4",4,1,1,12,5,8,16,6,1
"309",1744550,"3","0.2",1,1,1,3,3,3,19,2,1
"310",1744550,"12","0.4",4,1,1,12,5,8,16,6,1
"311",1744550,"12","0.8",8,1,1,14,6,18,14,15,1
"312",1744550,"12","0.4",3,0.777777777777778,0,12,5,8,16,6,1
"313",1744550,"9","0.4",4,0.888888888888889,1,12,5,8,16,6,1
"314",1744550,"9","0.4",4,1,1,12,5,8,16,6,1
"315",1744550,"12","0.6",5,1,1,11,10,9,16,8,1
"316",1744550,"12","0.8",7,0.888888888888889,1,14,6,18,14,15,1
"317",1744550,"9","0.8",8,1,1,14,6,18,14,15,1
"318",1744550,"9","0.2",1,1,1,3,3,3,19,2,1
"319",1744550,"3","0.2",2,0.888888888888889,1,3,3,3,19,2,1
"320",1744550,"6","0.6",5,1,1,11,10,9,16,8,1
"321",1744550,"9","0.6",5,1,1,11,10,9,16,8,1
"322",1744550,"12","0.4",3,0.888888888888889,1,12,5,8,16,6,1
"323",1744550,"12","0.2",1,1,1,3,3,3,19,2,1
"324",1744550,"6","0.2",2,1,1,3,3,3,19,2,1
"325",1744550,"12","0.2",1,1,1,3,3,3,19,2,1
"326",1744550,"12","0.2",2,1,1,3,3,3,19,2,1
"327",1744623,"3","0.4",4,1,1,9,12,12,12,12,10
"328",1744623,"9","0.2",1,1,1,12,12,9,12,12,4
"329",1744623,"12","0.2",1,1,1,12,12,9,12,12,4
"330",1744623,"3","0.4",4,1,1,9,12,12,12,12,10
"331",1744623,"9","0.4",4,1,1,9,12,12,12,12,10
"332",1744623,"3","0.2",2,1,1,12,12,9,12,12,4
"333",1744623,"9","0.2",2,0.888888888888889,1,12,12,9,12,12,4
"334",1744623,"12","0.8",7,1,1,14,14,15,14,14,14
"335",1744623,"9","0.6",6,0.888888888888889,1,13,12,12,12,12,10
"336",1744623,"9","0.6",5,0.777777777777778,0,13,12,12,12,12,10
"337",1744623,"12","0.2",1,1,1,12,12,9,12,12,4
"338",1744623,"6","0.4",3,0.888888888888889,1,9,12,12,12,12,10
"339",1744623,"3","0.2",1,1,1,12,12,9,12,12,4
"340",1744623,"12","0.8",8,0.888888888888889,1,14,14,15,14,14,14
"341",1744623,"12","0.4",3,1,1,9,12,12,12,12,10
"342",1744623,"9","0.8",7,1,1,14,14,15,14,14,14
"343",1744623,"9","0.8",7,1,1,14,14,15,14,14,14
"344",1744623,"3","0.8",8,0,0,14,14,15,14,14,14
"345",1744623,"9","0.2",1,0.888888888888889,1,12,12,9,12,12,4
"346",1744623,"6","0.4",3,1,1,9,12,12,12,12,10
"347",1744623,"9","0.4",4,0,0,9,12,12,12,12,10
"348",1744623,"12","0.2",1,0.888888888888889,1,12,12,9,12,12,4
"349",1744623,"6","0.2",2,1,1,12,12,9,12,12,4
"350",1744623,"3","0.2",2,1,1,12,12,9,12,12,4
"351",1744623,"9","0.4",3,1,1,9,12,12,12,12,10
"352",1744623,"12","0.4",4,0.888888888888889,1,9,12,12,12,12,10
"353",1744623,"9","0.2",2,0,0,12,12,9,12,12,4
"354",1744623,"9","0.4",4,1,1,9,12,12,12,12,10
"355",1744623,"12","0.2",2,0.888888888888889,1,12,12,9,12,12,4
"356",1744623,"3","0.6",5,1,1,13,12,12,12,12,10
"357",1744623,"9","0.2",2,0,0,12,12,9,12,12,4
"358",1744623,"3","0.2",2,1,1,12,12,9,12,12,4
"359",1744623,"6","0.2",1,1,1,12,12,9,12,12,4
"360",1744623,"3","0.2",1,1,1,12,12,9,12,12,4
"361",1744623,"6","0.2",2,1,1,12,12,9,12,12,4
"362",1744623,"3","0.4",3,1,1,9,12,12,12,12,10
"363",1744623,"6","0.2",1,1,1,12,12,9,12,12,4
"364",1744623,"12","0.4",3,1,1,9,12,12,12,12,10
"365",1744623,"12","0.2",1,1,1,12,12,9,12,12,4
"366",1744623,"3","0.4",4,1,1,9,12,12,12,12,10
"367",1744623,"6","0.2",1,1,1,12,12,9,12,12,4
"368",1744949,"12","0.8",7,1,1,21,19,14,15,19,13
"369",1744949,"6","0.2",1,0.888888888888889,1,7,8,8,21,17,13
"370",1744949,"6","0.6",6,0.888888888888889,1,14,14,9,13,16,13
"371",1744949,"9","0.2",1,1,1,7,8,8,21,17,13
"372",1744949,"6","0.4",4,1,1,12,12,9,20,15,13
"373",1744949,"3","0.6",6,1,1,14,14,9,13,16,13
"374",1744949,"9","0.4",3,0.888888888888889,1,12,12,9,20,15,13
"375",1744949,"3","0.2",2,1,1,7,8,8,21,17,13
"376",1744949,"9","0.6",6,1,1,14,14,9,13,16,13
"377",1744949,"6","0.8",8,1,1,21,19,14,15,19,13
"378",1744949,"3","0.4",4,0.888888888888889,1,12,12,9,20,15,13
"379",1744949,"12","0.2",1,1,1,7,8,8,21,17,13
"380",1744949,"3","0.6",5,1,1,14,14,9,13,16,13
"381",1744949,"3","0.2",1,1,1,7,8,8,21,17,13
"382",1744949,"3","0.4",4,1,1,12,12,9,20,15,13
"383",1744949,"9","0.8",8,0.888888888888889,1,21,19,14,15,19,13
"384",1744949,"3","0.4",3,1,1,12,12,9,20,15,13
"385",1744949,"12","0.8",8,1,1,21,19,14,15,19,13
"386",1744949,"6","0.4",3,0,0,12,12,9,20,15,13
"387",1744949,"6","0.4",4,0.888888888888889,1,12,12,9,20,15,13
"388",1744949,"12","0.4",4,0.888888888888889,1,12,12,9,20,15,13
"389",1744949,"3","0.2",1,1,1,7,8,8,21,17,13
"390",1744949,"3","0.8",7,1,1,21,19,14,15,19,13
"391",1744949,"9","0.8",8,0.888888888888889,1,21,19,14,15,19,13
"392",1744949,"6","0.6",6,1,1,14,14,9,13,16,13
"393",1744949,"12","0.8",8,0.888888888888889,1,21,19,14,15,19,13
"394",1744949,"9","0.8",7,1,1,21,19,14,15,19,13
"395",1744949,"12","0.6",6,0.888888888888889,1,14,14,9,13,16,13
"396",1744949,"6","0.6",5,1,1,14,14,9,13,16,13
"397",1744949,"12","0.6",6,0.777777777777778,0,14,14,9,13,16,13
"398",1744949,"12","0.8",7,0,0,21,19,14,15,19,13
"399",1744949,"3","0.2",2,1,1,7,8,8,21,17,13
"400",1744949,"6","0.8",7,1,1,21,19,14,15,19,13
"401",1744949,"9","0.4",3,1,1,12,12,9,20,15,13
"402",1744949,"6","0.2",2,1,1,7,8,8,21,17,13
"403",1744949,"6","0.6",6,0.888888888888889,1,14,14,9,13,16,13
"404",1744949,"9","0.2",1,1,1,7,8,8,21,17,13
"405",1744949,"12","0.2",1,1,1,7,8,8,21,17,13
"406",1744949,"12","0.6",5,0.888888888888889,1,14,14,9,13,16,13
